"lineup","slugTeam","seasonPM","seasonSecs","l_id","Season_mins"
"Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap","ATL",82,14626,1,243
"Derrick Rose, Jimmy Butler, Joakim Noah, Mike Dunleavy, Pau Gasol","CHI",60,9357,2,155
"Dwight Howard, James Harden, Jason Terry, Terrence Jones, Trevor Ariza","HOU",41,8413,3,140
"Andre Iguodala, Draymond Green, Harrison Barnes, Klay Thompson, Stephen Curry","GSW",38,6665,4,111
"CJ McCollum, Damian Lillard, LaMarcus Aldridge, Meyers Leonard, Nicolas Batum","POR",36,3270,5,54
"Draymond Green, Harrison Barnes, Klay Thompson, Shaun Livingston, Stephen Curry","GSW",29,1958,6,32
"Iman Shumpert, LeBron James, Matthew Dellavedova, Timofey Mozgov, Tristan Thompson","CLE",29,5911,7,98
"Andrew Bogut, Draymond Green, Harrison Barnes, Klay Thompson, Stephen Curry","GSW",28,14870,8,247
"Blake Griffin, Chris Paul, DeAndre Jordan, JJ Redick, Matt Barnes","LAC",25,13937,9,232
"Derrick Rose, Jimmy Butler, Mike Dunleavy, Pau Gasol, Taj Gibson","CHI",24,2626,10,43
"Bojan Bogdanovic, Brook Lopez, Jarrett Jack, Joe Johnson, Thaddeus Young","BKN",23,1037,11,17
"Corey Brewer, Dwight Howard, Jason Terry, Josh Smith, Trevor Ariza","HOU",22,657,12,10
"Al-Farouq Aminu, Amar'e Stoudemire, Dirk Nowitzki, J.J. Barea, Monta Ellis","DAL",20,745,13,12
"Al Horford, Jeff Teague, Kent Bazemore, Kyle Korver, Paul Millsap","ATL",19,804,14,13
"Blake Griffin, Chris Paul, Jamal Crawford, JJ Redick, Matt Barnes","LAC",19,1091,15,18
"Bradley Beal, Drew Gooden, Marcin Gortat, Otto Porter Jr., Ramon Sessions","WAS",19,669,16,11
"Bradley Beal, John Wall, Marcin Gortat, Otto Porter Jr., Paul Pierce","WAS",19,3065,17,51
"Derrick Rose, Jimmy Butler, Mike Dunleavy, Nikola Mirotic, Pau Gasol","CHI",19,1237,18,20
"Iman Shumpert, Kyrie Irving, LeBron James, Timofey Mozgov, Tristan Thompson","CLE",19,6296,19,104
"Alan Anderson, Brook Lopez, Deron Williams, Jarrett Jack, Thaddeus Young","BKN",18,722,20,12
"Anthony Davis, Eric Gordon, Norris Cole, Quincy Pondexter, Ryan Anderson","NOP",18,688,21,11
"Boris Diaw, Danny Green, Kawhi Leonard, Tim Duncan, Tony Parker","SAS",18,2789,22,46
"Al-Farouq Aminu, Dirk Nowitzki, J.J. Barea, Monta Ellis, Tyson Chandler","DAL",17,2624,23,43
"Corey Brewer, Dwight Howard, James Harden, Pablo Prigioni, Terrence Jones","HOU",17,1214,24,20
