"namePlayer","idGame","slugTeam","totalPlusMinus","totalSecs"
"Dion Waiters","21400133","CLE",45,1614
"Harrison Barnes","21400861","GSW",45,1785
"Chris Paul","21400534","LAC",44,1874
"Klay Thompson","21400861","GSW",44,1693
"Draymond Green","21400861","GSW",43,1669
"Timofey Mozgov","21400809","CLE",42,1736
"Damian Lillard","21400183","POR",40,1566
"Jrue Holiday","21400128","NOP",40,1660
"Rajon Rondo","21400279","BOS",40,1889
"Darren Collison","21400067","SAC",39,1894
"Tyler Zeller","21400279","BOS",39,1868
"Klay Thompson","21400145","GSW",38,1753
"Klay Thompson","21400651","GSW",38,1969
"Tristan Thompson","21400133","CLE",38,1446
"Ben McLemore","21400067","SAC",37,2146
"Boris Diaw","21401113","SAS",37,1420
"D.J. Augustin","21400727","DET",37,2118
"DeAndre Jordan","21400534","LAC",37,1818
"Jamal Crawford","21400820","LAC",37,1240
"Lou Williams","21400186","TOR",37,1766
"Rodney Stuckey","21400946","IND",37,1835
"Wilson Chandler","21401169","DEN",37,1651
"Blake Griffin","21400534","LAC",36,1852
"DeMar DeRozan","21400175","TOR",36,1716
"Enes Kanter","21400826","OKC",36,1582
"Harrison Barnes","21400275","GSW",36,2423
"Jason Thompson","21400669","SAC",36,1682
"Kemba Walker","21400549","CHA",36,1704
"Marcus Morris Sr.","21400013","PHX",36,1747
"Matt Barnes","21400534","LAC",36,1800
"Andre Drummond","21400727","DET",35,2021
"Blake Griffin","21400640","LAC",35,1493
"Chris Copeland","21400448","IND",35,2030
"Chris Paul","21401061","LAC",35,1703
"DeAndre Jordan","21401061","LAC",35,1709
"Draymond Green","21400145","GSW",35,1440
"Draymond Green","21400981","GSW",35,1513
"Dwight Howard","21400346","HOU",35,1777
"Dwight Howard","21400497","HOU",35,1587
"Isaiah Thomas","21401164","BOS",35,1787
"LeBron James","21400891","CLE",35,1535
"Marcus Smart","21401194","BOS",35,1976
"Mason Plumlee","21400341","BKN",35,2302
"Robin Lopez","21401136","POR",35,1508
"Anthony Davis","21400128","NOP",34,1642
"Giannis Antetokounmpo","21401180","MIL",34,1877
"LaMarcus Aldridge","21400394","POR",34,1741
"Luc Mbah a Moute","21400682","PHI",34,1887
"Michael Carter-Williams","21400682","PHI",34,2101
"Michael Carter-Williams","21401180","MIL",34,1877
"Michael Kidd-Gilchrist","21400549","CHA",34,1523
"Nerlens Noel","21400682","PHI",34,1740
"Nikola Pekovic","21400060","MIN",34,1923
"Robin Lopez","21400183","POR",34,1406
"Rodney Hood","21400997","UTA",34,1304
"Terrence Ross","21400175","TOR",34,1425
"Bradley Beal","21400264","WAS",33,2235
"Chris Paul","21400198","LAC",33,2308
"Chris Paul","21400239","LAC",33,2032
"Danny Green","21400152","SAS",33,1696
"DeAndre Jordan","21400640","LAC",33,1536
"Dirk Nowitzki","21400120","DAL",33,1209
"Dwight Howard","21400069","HOU",33,1958
"Eric Gordon","21400128","NOP",33,1231
"JJ Redick","21400534","LAC",33,1609
"JJ Redick","21401061","LAC",33,1318
"JR Smith","21400643","CLE",33,1728
"Kevin Love","21400643","CLE",33,1799
"Khris Middleton","21400653","MIL",33,1708
"Michael Kidd-Gilchrist","21400899","CHA",33,2032
"Russell Westbrook","21400826","OKC",33,1643
"Shawn Marion","21400238","CLE",33,1894
"Stephen Curry","21400861","GSW",33,1501
"Tyreke Evans","21400128","NOP",33,1587
"Wesley Matthews","21400183","POR",33,1627
"Andrew Bogut","21400636","GSW",32,1349
"Andrew Bogut","21401053","GSW",32,1400
"Anthony Morrow","21400904","OKC",32,911
"Blake Griffin","21401061","LAC",32,1605
"CJ McCollum","21401136","POR",32,1648
"DeAndre Jordan","21400239","LAC",32,1838
"Devin Harris","21400706","DAL",32,1827
"Dion Waiters","21400303","CLE",32,1778
"Draymond Green","21400636","GSW",32,1980
"Gerald Henderson","21400899","CHA",32,1871
"Ian Mahinmi","21400946","IND",32,1669
"J.J. Barea","21400120","DAL",32,1182
"James Harden","21400536","HOU",32,1840
"JJ Redick","21400198","LAC",32,2105
"Kyle Lowry","21400175","TOR",32,1534
"LeBron James","21400643","CLE",32,1597
"Luis Scola","21400946","IND",32,1220
"Matt Barnes","21400272","LAC",32,2337
"Matt Barnes","21400640","LAC",32,1417
"Matt Barnes","21401061","LAC",32,1635
"Michael Beasley","21401024","MIA",32,2064
"Mike Conley","21401035","MEM",32,2059
"Robert Covington","21400589","PHI",32,1968
"Shelvin Mack","21401138","ATL",32,1271
"Al Horford","21400237","ATL",31,1133
"Anthony Davis","21400671","NOP",31,1832
"Bismack Biyombo","21400549","CHA",31,1251
"Blake Griffin","21400170","LAC",31,1799
"Blake Griffin","21400198","LAC",31,2305
"C.J. Watson","21400448","IND",31,1773
"C.J. Watson","21400946","IND",31,1399
"David Lee","21400730","GSW",31,1391
"DeAndre Jordan","21400170","LAC",31,1866
"DeMarcus Cousins","21400561","SAC",31,2105
"Donatas Motiejunas","21400536","HOU",31,2165
"Jimmy Butler","21400758","CHI",31,2023
"Kenneth Faried","21401169","DEN",31,1765
"Kyrie Irving","21400238","CLE",31,2145
"LeBron James","21401066","CLE",31,1887
"Markieff Morris","21400013","PHX",31,1552
"P.J. Tucker","21400173","PHX",31,1345
"Rodney Stuckey","21400356","IND",31,1764
"Rudy Gay","21400067","SAC",31,2115
"Amar'e Stoudemire","21400972","DAL",30,864
"Amir Johnson","21400175","TOR",30,1191
"Andrew Bogut","21400944","GSW",30,1383
"Avery Bradley","21400279","BOS",30,2012
"Chris Paul","21400640","LAC",30,1441
"Damian Lillard","21400394","POR",30,1667
"Dirk Nowitzki","21400972","DAL",30,1471
"Draymond Green","21400474","GSW",30,1723
"Glen Davis","21400820","LAC",30,1138
"Goran Dragic","21400013","PHX",30,1572
"Goran Dragic","21400507","PHX",30,1717
"Greg Monroe","21400129","DET",30,2058
"Jae Crowder","21401194","BOS",30,1491
"JJ Redick","21400957","LAC",30,2113
"John Wall","21401114","WAS",30,1792
"Kawhi Leonard","21401071","SAS",30,1388
"Klay Thompson","21400981","GSW",30,1535
"Klay Thompson","21401089","GSW",30,2044
"LeBron James","21400809","CLE",30,1507
"Manu Ginobili","21400131","SAS",30,1495
"Mike Dunleavy","21400154","CHI",30,2115
"Stephen Curry","21400038","GSW",30,2046
"Stephen Curry","21400981","GSW",30,1616
"Stephen Curry","21401053","GSW",30,1696
"Anthony Morrow","21401038","OKC",29,1770
"Bradley Beal","21401114","WAS",29,1949
"Charlie Villanueva","21400702","DAL",29,1355
"Chris Kaman","21401146","POR",29,1287
"Chris Paul","21400170","LAC",29,1977
"Chris Paul","21401075","LAC",29,1790
"David West","21401165","IND",29,1585
"DeMar DeRozan","21401160","TOR",29,2027
"DeMarcus Cousins","21400025","SAC",29,1889
"Deron Williams","21400044","BKN",29,2206
"Donatas Motiejunas","21400555","HOU",29,2135
"Draymond Green","21400206","GSW",29,2194
"George Hill","21401165","IND",29,1599
"Iman Shumpert","21401037","CLE",29,1797
"Isaiah Thomas","21400173","PHX",29,1455
"Jeff Teague","21400779","ATL",29,1941
"Joe Ingles","21400655","UTA",29,1809
"Jusuf Nurkic","21400500","DEN",29,1387
"Kelly Olynyk","21400357","BOS",29,1866
"Kendrick Perkins","21400795","OKC",29,1386
"Khris Middleton","21400479","MIL",29,1910
"Klay Thompson","21400636","GSW",29,1876
"Kyle Korver","21400558","ATL",29,1911
"Kyle Korver","21401138","ATL",29,1324
"Kyrie Irving","21400643","CLE",29,1668
"Mario Chalmers","21401024","MIA",29,1693
"Matt Barnes","21401153","LAC",29,1782
"Mo Williams","21400167","MIN",29,1883
"Patrick Patterson","21400271","TOR",29,1864
"Paul Millsap","21400592","ATL",29,1984
"Quincy Miller","21401195","DET",29,1618
"Ryan Anderson","21400128","NOP",29,1375
"Serge Ibaka","21400826","OKC",29,1566
"Tiago Splitter","21400949","SAS",29,1632
"Timofey Mozgov","21400643","CLE",29,1278
"Tony Snell","21400800","CHI",29,2273
"Tristan Thompson","21400303","CLE",29,1743
"Ty Lawson","21400943","DEN",29,1471
"Tyreke Evans","21400671","NOP",29,1685
"Tyson Chandler","21400235","DAL",29,1907
"Zach Randolph","21401050","MEM",29,2070
"Al Horford","21400558","ATL",28,1828
"Andre Iguodala","21400730","GSW",28,1445
"Ben McLemore","21400532","SAC",28,2056
"Blake Griffin","21400239","LAC",28,2025
"Blake Griffin","21401153","LAC",28,1840
"Chris Paul","21401031","LAC",28,2212
"Courtney Lee","21400151","MEM",28,1807
"Damian Lillard","21400115","POR",28,1805
"Danilo Gallinari","21401169","DEN",28,2133
"DeMarre Carroll","21400237","ATL",28,1433
"Devin Harris","21400120","DAL",28,737
"Devin Harris","21400972","DAL",28,1179
"Dirk Nowitzki","21400080","DAL",28,1689
"Eric Bledsoe","21400013","PHX",28,1568
"Harrison Barnes","21401192","GSW",28,1756
"Hassan Whiteside","21400559","MIA",28,1723
"Iman Shumpert","21401124","CLE",28,1591
"Jae Crowder","21400844","BOS",28,1714
"James Harden","21400917","HOU",28,2266
"James Harden","21401219","HOU",28,1647
"JJ Redick","21400252","LAC",28,1369
"Jose Calderon","21400717","NYK",28,1579
"JR Smith","21400948","CLE",28,1737
"Kawhi Leonard","21400241","SAS",28,1800
"Kelly Olynyk","21401194","BOS",28,1091
"Kevin Durant","21400795","OKC",28,2043
"Kevin Love","21400821","CLE",28,1744
"Kirk Hinrich","21400320","CHI",28,1833
"Klay Thompson","21400087","GSW",28,1869
"Kyle Korver","21400492","ATL",28,1920
"Kyle Korver","21400592","ATL",28,1757
"Kyle Korver","21400843","ATL",28,2021
"Kyle Lowry","21400990","TOR",28,2289
"Kyrie Irving","21400199","CLE",28,1862
"Meyers Leonard","21401136","POR",28,1120
"Mike Muscala","21401154","ATL",28,1549
"Nick Collison","21400904","OKC",28,1546
"Paul Millsap","21400237","ATL",28,1433
"Richard Jefferson","21400706","DAL",28,1693
"Stephen Curry","21400206","GSW",28,2225
"Stephen Curry","21400474","GSW",28,1603
"Taj Gibson","21400010","CHI",28,1691
"Terrence Jones","21400819","HOU",28,1414
"Terrence Ross","21400093","TOR",28,1756
"Thabo Sefolosha","21400558","ATL",28,1210
"Thabo Sefolosha","21400580","ATL",28,1641
