"namePlayer","idGame","slugTeam","totalPlusMinus","totalSecs"
"Jimmy Butler","41400126","CHI",46,1901
"Derrick Rose","41400126","CHI",41,1492
"Joakim Noah","41400126","CHI",38,1520
"DeAndre Jordan","41400233","LAC",36,2184
"Draymond Green","41400313","GSW",36,2151
"Danny Green","41400163","SAS",33,1749
"Stephen Curry","41400313","GSW",33,2098
"Corey Brewer","41400236","HOU",32,1486
"Klay Thompson","41400313","GSW",32,1931
"Marcin Gortat","41400134","WAS",32,1739
"LeBron James","41400212","CLE",31,2053
"Blake Griffin","41400234","LAC",30,1984
"Pau Gasol","41400126","CHI",30,1825
"Bradley Beal","41400134","WAS",29,2132
"Mike Dunleavy","41400126","CHI",29,1685
"Paul Millsap","41400106","ATL",29,1889
"Chris Paul","41400234","LAC",28,1573
"Iman Shumpert","41400302","CLE",27,2058
"Iman Shumpert","41400304","CLE",27,2130
"Jeff Teague","41400106","ATL",27,1410
"Festus Ezeli","41400313","GSW",26,1068
"Iman Shumpert","41400216","CLE",26,2167
"Monta Ellis","41400154","DAL",26,2365
"Tyson Chandler","41400154","DAL",26,1752
"Shaun Livingston","41400404","GSW",25,1470
"Al Horford","41400106","ATL",24,1875
"Draymond Green","41400142","GSW",24,2510
"JR Smith","41400216","CLE",24,2016
"Kyle Korver","41400106","ATL",24,1897
"Matt Barnes","41400234","LAC",24,1809
"Stephen Curry","41400405","GSW",24,2527
"Trevor Ariza","41400235","HOU",24,1875
"Andre Iguodala","41400225","GSW",23,1507
"Blake Griffin","41400161","LAC",23,2564
"Draymond Green","41400141","GSW",23,2546
"Draymond Green","41400405","GSW",23,2131
"James Harden","41400235","HOU",23,2572
"Jeff Green","41400223","MEM",23,1547
"JJ Redick","41400233","LAC",23,2207
"Kyrie Irving","41400212","CLE",23,2051
"Matt Barnes","41400166","LAC",23,1731
"Tim Duncan","41400163","SAS",23,1839
"Timofey Mozgov","41400304","CLE",23,2107
"Tony Parker","41400163","SAS",23,1542
"Al-Farouq Aminu","41400154","DAL",22,2288
"Andre Iguodala","41400313","GSW",22,1509
"Dwight Howard","41400152","HOU",22,1986
"J.J. Barea","41400153","DAL",22,1514
"J.J. Barea","41400154","DAL",22,2140
"James Jones","41400402","CLE",22,1349
"Jason Terry","41400235","HOU",22,1725
"Tristan Thompson","41400304","CLE",22,1842
"Andrew Bogut","41400224","GSW",21,1800
"Blake Griffin","41400231","LAC",21,2419
"CJ McCollum","41400174","POR",21,2101
"DeAndre Jordan","41400231","LAC",21,2010
"James Harden","41400314","HOU",21,2420
"Matt Barnes","41400231","LAC",21,2522
"Matthew Dellavedova","41400216","CLE",21,2044
"Meyers Leonard","41400174","POR",21,2101
"Shaun Livingston","41400225","GSW",21,1313
"Tristan Thompson","41400302","CLE",21,2468
"Chris Paul","41400161","LAC",20,2267
"Courtney Lee","41400171","MEM",20,1766
"Dirk Nowitzki","41400154","DAL",20,2069
"Jeff Green","41400172","MEM",20,1593
"JJ Redick","41400231","LAC",20,2434
"John Wall","41400134","WAS",20,1524
"Kawhi Leonard","41400163","SAS",20,1710
"Kyle Korver","41400202","ATL",20,2407
"LeBron James","41400216","CLE",20,2465
"LeBron James","41400302","CLE",20,2338
"LeBron James","41400304","CLE",20,1751
"Nene","41400134","WAS",20,1677
"Pablo Prigioni","41400237","HOU",20,1207
"Paul Pierce","41400134","WAS",20,1345
"Spencer Hawes","41400233","LAC",20,678
"Stephen Curry","41400141","GSW",20,2406
"Tristan Thompson","41400212","CLE",20,2070
"Draymond Green","41400224","GSW",19,2095
"Dwight Howard","41400314","HOU",19,2051
"Iman Shumpert","41400212","CLE",19,1741
"Jamal Crawford","41400234","LAC",19,1596
"Jarrett Jack","41400104","BKN",19,1330
"Nick Calathes","41400175","MEM",19,1726
"Nikola Mirotic","41400213","CHI",19,1318
"Stephen Curry","41400224","GSW",19,2315
"Tristan Thompson","41400216","CLE",19,2403
"Boris Diaw","41400163","SAS",18,1380
"Brook Lopez","41400103","BKN",18,2497
"David Lee","41400225","GSW",18,1046
"Draymond Green","41400144","GSW",18,2509
"Harrison Barnes","41400141","GSW",18,1860
"Harrison Barnes","41400221","GSW",18,1506
"Harrison Barnes","41400226","GSW",18,2187
"JR Smith","41400215","CLE",18,1764
"JR Smith","41400304","CLE",18,1739
"Kent Bazemore","41400106","ATL",18,1455
"Klay Thompson","41400143","GSW",18,2759
"Klay Thompson","41400224","GSW",18,2396
"Pau Gasol","41400123","CHI",18,2467
"Pau Gasol","41400124","CHI",18,2020
"Stephen Curry","41400404","GSW",18,2463
"Trevor Ariza","41400152","HOU",18,2139
"David Lee","41400403","GSW",17,798
"Drew Gooden","41400134","WAS",17,1361
"Jamal Crawford","41400233","LAC",17,1591
"Jarrett Jack","41400103","BKN",17,1617
"Otto Porter Jr.","41400132","WAS",17,2092
"Otto Porter Jr.","41400133","WAS",17,1988
"Pau Gasol","41400211","CHI",17,2083
"Paul Millsap","41400102","ATL",17,2043
"Ramon Sessions","41400134","WAS",17,1411
"Ryan Anderson","41400143","NOP",17,1820
"Thaddeus Young","41400103","BKN",17,2470
"Timofey Mozgov","41400112","CLE",17,1711
"Andre Iguodala","41400404","GSW",16,2356
"Andre Iguodala","41400405","GSW",16,2549
"Austin Rivers","41400233","LAC",16,1396
"DeAndre Jordan","41400234","LAC",16,1797
"DeMarre Carroll","41400106","ATL",16,1428
"Draymond Green","41400221","GSW",16,1650
"Draymond Green","41400404","GSW",16,1941
"Dwight Howard","41400153","HOU",16,2297
"Harrison Barnes","41400143","GSW",16,2232
"James Harden","41400155","HOU",16,2105
"Jason Terry","41400153","HOU",16,1643
